Time,f50,QI
2022-12-17 00:00:00,43.356,0
2022-12-17 00:00:01,37.191,0
2022-12-17 00:00:02,39.548,0
2022-12-17 00:00:03,37.486,0
2022-12-17 00:00:04,30.77,0
2022-12-17 00:00:05,34.664,0
2022-12-17 00:00:06,42.478,0
2022-12-17 00:00:07,43.951,0
2022-12-17 00:00:08,46.811,0
2022-12-17 00:00:09,49.475,0
2022-12-17 00:00:10,40.966,0
2022-12-17 00:00:11,39.869,0
2022-12-17 00:00:12,35.391,0
2022-12-17 00:00:13,36.272,0
2022-12-17 00:00:14,43.513,0
2022-12-17 00:00:15,44.651,0
2022-12-17 00:00:16,47.563,0
2022-12-17 00:00:17,49.883,0
2022-12-17 00:00:18,51.602,0
2022-12-17 00:00:19,49.055,0
2022-12-17 00:00:20,44.346,0
2022-12-17 00:00:21,40.503,0
2022-12-17 00:00:22,41.626,0
2022-12-17 00:00:23,40.268,0
2022-12-17 00:00:24,40.532,0
2022-12-17 00:00:25,44.833,0
2022-12-17 00:00:26,46.982,0
2022-12-17 00:00:27,42.449,0
2022-12-17 00:00:28,50.657,0
2022-12-17 00:00:29,53.933,0
2022-12-17 00:00:30,63.709,0
2022-12-17 00:00:31,66.274,0
2022-12-17 00:00:32,55.266,0
2022-12-17 00:00:33,55.588,0
2022-12-17 00:00:34,55.906,0
2022-12-17 00:00:35,53.08,0
2022-12-17 00:00:36,56.313,0
2022-12-17 00:00:37,53.507,0
2022-12-17 00:00:38,52.824,0
2022-12-17 00:00:39,48.521,0
2022-12-17 00:00:40,46.918,0
2022-12-17 00:00:41,45.103,0
2022-12-17 00:00:42,44.166,0
2022-12-17 00:00:43,46.651,0
2022-12-17 00:00:44,46.958,0
2022-12-17 00:00:45,40.717,0
2022-12-17 00:00:46,42.234,0
2022-12-17 00:00:47,50.338,0
2022-12-17 00:00:48,45.297,0
2022-12-17 00:00:49,50.547,0
2022-12-17 00:00:50,45.986,0
2022-12-17 00:00:51,34.407,0
2022-12-17 00:00:52,31.167,0
2022-12-17 00:00:53,29.972,0
2022-12-17 00:00:54,28.689,0
2022-12-17 00:00:55,32.903,0
2022-12-17 00:00:56,42.765,0
2022-12-17 00:00:57,42.0,0
2022-12-17 00:00:58,37.634,0
2022-12-17 00:00:59,38.468,0
2022-12-17 00:01:00,37.3,0
2022-12-17 00:01:01,36.83,0
2022-12-17 00:01:02,40.419,0
2022-12-17 00:01:03,39.643,0
2022-12-17 00:01:04,38.948,0
2022-12-17 00:01:05,40.968,0
2022-12-17 00:01:06,36.202,0
2022-12-17 00:01:07,32.86,0
2022-12-17 00:01:08,32.442,0
2022-12-17 00:01:09,38.034,0
2022-12-17 00:01:10,41.437,0
2022-12-17 00:01:11,42.623,0
2022-12-17 00:01:12,40.505,0
2022-12-17 00:01:13,43.581,0
2022-12-17 00:01:14,45.354,0
2022-12-17 00:01:15,42.696,0
2022-12-17 00:01:16,38.003,0
2022-12-17 00:01:17,37.659,0
2022-12-17 00:01:18,37.505,0
2022-12-17 00:01:19,36.537,0
2022-12-17 00:01:20,37.771,0
2022-12-17 00:01:21,33.171,0
2022-12-17 00:01:22,27.313,0
2022-12-17 00:01:23,24.401,0
2022-12-17 00:01:24,30.333,0
2022-12-17 00:01:25,35.748,0
2022-12-17 00:01:26,40.394,0
2022-12-17 00:01:27,40.737,0
2022-12-17 00:01:28,36.552,0
2022-12-17 00:01:29,34.758,0
2022-12-17 00:01:30,36.789,0
2022-12-17 00:01:31,38.786,0
2022-12-17 00:01:32,35.079,0
2022-12-17 00:01:33,33.821,0
2022-12-17 00:01:34,35.006,0
2022-12-17 00:01:35,31.838,0
2022-12-17 00:01:36,31.987,0
2022-12-17 00:01:37,34.747,0
2022-12-17 00:01:38,33.515,0
2022-12-17 00:01:39,35.752,0
2022-12-17 00:01:40,37.119,0
2022-12-17 00:01:41,36.303,0
2022-12-17 00:01:42,40.006,0
2022-12-17 00:01:43,32.9,0
2022-12-17 00:01:44,26.152,0
2022-12-17 00:01:45,20.433,0
2022-12-17 00:01:46,17.192,0
2022-12-17 00:01:47,3.497,0
2022-12-17 00:01:48,2.196,0
2022-12-17 00:01:49,3.096,0
2022-12-17 00:01:50,-2.388,0
2022-12-17 00:01:51,-5.734,0
2022-12-17 00:01:52,-1.863,0
2022-12-17 00:01:53,-3.306,0
2022-12-17 00:01:54,-3.008,0
2022-12-17 00:01:55,1.188,0
2022-12-17 00:01:56,7.273,0
2022-12-17 00:01:57,13.021,0
2022-12-17 00:01:58,14.425,0
2022-12-17 00:01:59,23.492,0
2022-12-17 00:02:00,25.342,0
2022-12-17 00:02:01,26.207,0
2022-12-17 00:02:02,22.935,0
2022-12-17 00:02:03,17.566,0
2022-12-17 00:02:04,17.081,0
2022-12-17 00:02:05,6.856,0
2022-12-17 00:02:06,-0.881,0
2022-12-17 00:02:07,-8.472,0
2022-12-17 00:02:08,-13.703,0
2022-12-17 00:02:09,-16.293,0
