Time,f50,QI
2022-12-02 00:00:00,26.879,0
2022-12-02 00:00:01,26.418,0
2022-12-02 00:00:02,26.482,0
2022-12-02 00:00:03,25.371,0
2022-12-02 00:00:04,22.938,0
2022-12-02 00:00:05,22.207,0
2022-12-02 00:00:06,22.224,0
2022-12-02 00:00:07,23.532,0
2022-12-02 00:00:08,24.021,0
2022-12-02 00:00:09,24.939,0
2022-12-02 00:00:10,26.547,0
2022-12-02 00:00:11,27.329,0
2022-12-02 00:00:12,29.572,0
2022-12-02 00:00:13,31.234,0
2022-12-02 00:00:14,31.321,0
2022-12-02 00:00:15,31.469,0
2022-12-02 00:00:16,30.575,0
2022-12-02 00:00:17,29.12,0
2022-12-02 00:00:18,27.642,0
2022-12-02 00:00:19,26.43,0
2022-12-02 00:00:20,26.092,0
2022-12-02 00:00:21,27.258,0
2022-12-02 00:00:22,28.844,0
2022-12-02 00:00:23,29.563,0
2022-12-02 00:00:24,29.973,0
2022-12-02 00:00:25,29.599,0
2022-12-02 00:00:26,29.905,0
2022-12-02 00:00:27,30.158,0
2022-12-02 00:00:28,30.201,0
2022-12-02 00:00:29,30.375,0
2022-12-02 00:00:30,28.304,0
2022-12-02 00:00:31,25.095,0
2022-12-02 00:00:32,22.612,0
2022-12-02 00:00:33,19.33,0
2022-12-02 00:00:34,15.865,0
2022-12-02 00:00:35,13.565,0
2022-12-02 00:00:36,12.288,0
2022-12-02 00:00:37,12.457,0
2022-12-02 00:00:38,12.558,0
2022-12-02 00:00:39,13.214,0
2022-12-02 00:00:40,13.202,0
2022-12-02 00:00:41,13.524,0
2022-12-02 00:00:42,13.931,0
2022-12-02 00:00:43,14.723,0
2022-12-02 00:00:44,13.975,0
2022-12-02 00:00:45,14.156,0
2022-12-02 00:00:46,15.197,0
2022-12-02 00:00:47,15.378,0
2022-12-02 00:00:48,16.741,0
2022-12-02 00:00:49,18.063,0
2022-12-02 00:00:50,19.152,0
2022-12-02 00:00:51,20.483,0
2022-12-02 00:00:52,21.839,0
2022-12-02 00:00:53,23.161,0
2022-12-02 00:00:54,23.851,0
2022-12-02 00:00:55,25.284,0
2022-12-02 00:00:56,25.726,0
2022-12-02 00:00:57,25.799,0
2022-12-02 00:00:58,26.058,0
2022-12-02 00:00:59,25.874,0
2022-12-02 00:01:00,27.616,0
2022-12-02 00:01:01,27.788,0
2022-12-02 00:01:02,26.487,0
2022-12-02 00:01:03,25.538,0
2022-12-02 00:01:04,23.941,0
2022-12-02 00:01:05,23.308,0
2022-12-02 00:01:06,23.161,0
2022-12-02 00:01:07,22.577,0
2022-12-02 00:01:08,23.622,0
2022-12-02 00:01:09,23.927,0
2022-12-02 00:01:10,22.586,0
2022-12-02 00:01:11,21.965,0
2022-12-02 00:01:12,20.857,0
2022-12-02 00:01:13,19.322,0
2022-12-02 00:01:14,17.662,0
2022-12-02 00:01:15,16.871,0
2022-12-02 00:01:16,18.109,0
2022-12-02 00:01:17,19.141,0
2022-12-02 00:01:18,19.794,0
2022-12-02 00:01:19,20.231,0
2022-12-02 00:01:20,19.737,0
2022-12-02 00:01:21,18.574,0
2022-12-02 00:01:22,17.655,0
2022-12-02 00:01:23,17.566,0
2022-12-02 00:01:24,16.322,0
2022-12-02 00:01:25,15.946,0
2022-12-02 00:01:26,15.581,0
2022-12-02 00:01:27,13.131,0
2022-12-02 00:01:28,11.978,0
2022-12-02 00:01:29,10.836,0
2022-12-02 00:01:30,9.666,0
2022-12-02 00:01:31,8.382,0
2022-12-02 00:01:32,5.313,0
2022-12-02 00:01:33,2.78,0
2022-12-02 00:01:34,-1.084,0
2022-12-02 00:01:35,-5.128,0
2022-12-02 00:01:36,-7.352,0
2022-12-02 00:01:37,-9.48,0
2022-12-02 00:01:38,-10.018,0
2022-12-02 00:01:39,-9.899,0
2022-12-02 00:01:40,-9.081,0
2022-12-02 00:01:41,-7.815,0
2022-12-02 00:01:42,-4.611,0
2022-12-02 00:01:43,-1.62,0
2022-12-02 00:01:44,2.52,0
2022-12-02 00:01:45,8.053,0
2022-12-02 00:01:46,12.801,0
2022-12-02 00:01:47,17.439,0
2022-12-02 00:01:48,20.794,0
2022-12-02 00:01:49,23.478,0
2022-12-02 00:01:50,25.108,0
2022-12-02 00:01:51,26.27,0
2022-12-02 00:01:52,26.233,0
2022-12-02 00:01:53,26.865,0
2022-12-02 00:01:54,27.699,0
2022-12-02 00:01:55,27.829,0
2022-12-02 00:01:56,28.073,0
2022-12-02 00:01:57,27.655,0
2022-12-02 00:01:58,25.457,0
2022-12-02 00:01:59,24.699,0
2022-12-02 00:02:00,24.658,0
2022-12-02 00:02:01,24.398,0
2022-12-02 00:02:02,23.516,0
2022-12-02 00:02:03,22.027,0
2022-12-02 00:02:04,20.369,0
2022-12-02 00:02:05,16.705,0
2022-12-02 00:02:06,12.338,0
2022-12-02 00:02:07,8.126,0
2022-12-02 00:02:08,4.379,0
2022-12-02 00:02:09,2.219,0
2022-12-02 00:02:10,0.423,0
2022-12-02 00:02:11,-0.374,0
2022-12-02 00:02:12,-1.196,0
2022-12-02 00:02:13,-1.492,0
2022-12-02 00:02:14,-1.042,0
2022-12-02 00:02:15,-0.724,0
2022-12-02 00:02:16,-0.457,0
2022-12-02 00:02:17,-0.449,0
2022-12-02 00:02:18,-0.086,0
2022-12-02 00:02:19,0.586,0
2022-12-02 00:02:20,1.813,0
2022-12-02 00:02:21,2.899,0
2022-12-02 00:02:22,4.132,0
2022-12-02 00:02:23,5.108,0
2022-12-02 00:02:24,7.027,0
2022-12-02 00:02:25,10.277,0
2022-12-02 00:02:26,12.589,0
2022-12-02 00:02:27,15.646,0
2022-12-02 00:02:28,18.884,0
2022-12-02 00:02:29,21.776,0
2022-12-02 00:02:30,23.79,0
2022-12-02 00:02:31,24.498,0
2022-12-02 00:02:32,24.448,0
2022-12-02 00:02:33,24.746,0
2022-12-02 00:02:34,24.726,0
2022-12-02 00:02:35,23.818,0
2022-12-02 00:02:36,22.593,0
2022-12-02 00:02:37,21.06,0
2022-12-02 00:02:38,19.105,0
2022-12-02 00:02:39,16.567,0
2022-12-02 00:02:40,13.617,0
2022-12-02 00:02:41,10.833,0
2022-12-02 00:02:42,7.106,0
2022-12-02 00:02:43,4.063,0
2022-12-02 00:02:44,1.238,0
2022-12-02 00:02:45,-1.2,0
2022-12-02 00:02:46,-3.945,0
2022-12-02 00:02:47,-7.396,0
2022-12-02 00:02:48,-9.48,0
2022-12-02 00:02:49,-10.688,0
2022-12-02 00:02:50,-10.424,0
2022-12-02 00:02:51,-8.828,0
2022-12-02 00:02:52,-6.281,0
2022-12-02 00:02:53,-4.523,0
2022-12-02 00:02:54,-3.139,0
2022-12-02 00:02:55,-1.197,0
2022-12-02 00:02:56,0.559,0
2022-12-02 00:02:57,3.033,0
2022-12-02 00:02:58,6.024,0
2022-12-02 00:02:59,8.274,0
2022-12-02 00:03:00,10.295,0
2022-12-02 00:03:01,11.806,0
2022-12-02 00:03:02,12.887,0
2022-12-02 00:03:03,14.287,0
2022-12-02 00:03:04,14.066,0
2022-12-02 00:03:05,14.152,0
2022-12-02 00:03:06,13.818,0
2022-12-02 00:03:07,11.746,0
2022-12-02 00:03:08,10.043,0
2022-12-02 00:03:09,7.217,0
2022-12-02 00:03:10,3.223,0
2022-12-02 00:03:11,-1.312,0
2022-12-02 00:03:12,-5.844,0
2022-12-02 00:03:13,-8.687,0
2022-12-02 00:03:14,-11.798,0
2022-12-02 00:03:15,-14.346,0
2022-12-02 00:03:16,-16.976,0
2022-12-02 00:03:17,-18.619,0
2022-12-02 00:03:18,-19.11,0
2022-12-02 00:03:19,-18.37,0
2022-12-02 00:03:20,-16.842,0
2022-12-02 00:03:21,-14.711,0
2022-12-02 00:03:22,-11.908,0
2022-12-02 00:03:23,-9.13,0
2022-12-02 00:03:24,-7.142,0
2022-12-02 00:03:25,-5.375,0
2022-12-02 00:03:26,-4.632,0
2022-12-02 00:03:27,-5.319,0
2022-12-02 00:03:28,-5.606,0
2022-12-02 00:03:29,-5.337,0
2022-12-02 00:03:30,-3.56,0
2022-12-02 00:03:31,-1.164,0
2022-12-02 00:03:32,1.647,0
2022-12-02 00:03:33,3.516,0
2022-12-02 00:03:34,2.163,0
2022-12-02 00:03:35,-0.034,0
2022-12-02 00:03:36,-2.06,0
2022-12-02 00:03:37,-6.218,0
